Race #,WPM,Accuracy,Rank,# Racers,Text ID,Date/Time (UTC)
1,66,0.86,2,5,69,2017-02-22 06:13:17
2,96,0.95,1,5,3100075,2017-02-22 06:13:49
3,99,0.97,1,5,229,2017-02-22 06:14:52
4,82,0.97,3,5,3620380,2017-02-22 06:15:51
5,96,0.97,2,2,11,2017-02-22 06:16:39
6,101,0.95,2,3,3622358,2017-02-22 06:17:16
7,65,0.90,2,4,23,2017-02-22 06:18:43
8,90,0.97,4,5,3620546,2017-02-22 06:20:04
9,78,0.94,3,5,3550040,2017-02-22 06:21:13
10,94,0.95,2,5,3620685,2017-02-22 06:22:09
11,70,0.91,3,5,618,2017-02-22 06:45:20
12,78,0.94,2,5,678,2017-02-22 06:47:02
13,92,0.97,2,5,3622350,2017-02-22 06:47:42
14,96,0.95,2,5,31,2017-02-22 06:48:23
15,70,0.89,1,5,392,2017-02-22 06:49:38
16,96,0.99,1,4,3621642,2017-02-22 06:50:26
17,96,0.95,3,5,121,2017-02-22 06:51:30
18,75,0.88,2,3,3620323,2017-02-22 06:52:39
19,99,0.93,1,4,703,2017-02-22 06:53:31
20,113,1.00,3,3,3622454,2017-02-22 06:54:00
21,73,0.88,1,4,3550040,2017-02-22 06:55:21
22,89,0.96,3,5,3621203,2017-02-22 06:56:13
23,94,0.93,4,4,171,2017-02-22 06:57:09
24,83,0.93,3,4,306,2017-02-22 06:58:21
25,101,0.99,1,4,3620998,2017-02-22 06:59:03
26,95,0.97,1,5,3621180,2017-02-22 07:36:53
27,76,0.89,2,3,3622392,2017-02-22 16:28:09
28,99,0.97,1,3,3550095,2017-02-22 16:29:25
29,111,0.99,2,5,3620530,2017-02-22 16:30:03
30,98,0.96,3,5,3622293,2017-02-22 16:31:03
31,98,0.96,2,5,3621151,2017-02-22 16:31:59
32,80,0.89,2,4,10,2017-02-22 16:32:56
33,87,0.90,3,4,717,2017-02-22 16:34:54
34,94,0.95,2,4,3620127,2017-02-22 16:35:39
35,100,0.98,2,5,3622396,2017-02-22 19:59:48
36,80,0.92,5,5,3100072,2017-02-22 20:00:59
37,125,1.00,1,4,3622459,2017-02-22 20:01:46
38,90,0.97,3,5,3620415,2017-02-22 20:03:21
39,108,0.95,1,5,3620625,2017-02-22 20:04:12
40,106,0.99,2,5,102,2017-02-22 20:05:10
41,85,0.92,1,3,3622261,2017-02-22 20:06:09
42,107,0.97,1,5,3620372,2017-02-22 20:07:00
43,106,0.99,1,4,3620600,2017-02-22 20:07:48
44,75,0.93,1,5,381,2017-02-22 20:10:00
45,114,0.99,1,5,541,2017-02-22 20:10:41
46,96,0.98,3,5,3622285,2017-02-22 20:11:33
47,88,0.93,3,5,3622384,2017-02-22 20:12:57
48,101,0.96,2,4,3550226,2017-02-22 20:14:03
49,92,0.94,4,5,3550097,2017-02-22 20:15:05
50,107,0.96,1,5,3550148,2017-02-22 20:16:19
51,90,0.93,3,4,348,2017-02-22 21:52:01
52,100,0.94,1,3,591,2017-02-22 21:53:23
53,102,0.92,1,5,73,2017-02-22 21:54:46
54,122,0.94,2,4,3100017,2017-02-22 21:55:38
55,113,0.99,2,4,3100028,2017-02-22 21:56:29
56,114,0.99,2,5,3620600,2017-02-22 21:57:01
57,84,0.94,2,4,611,2017-02-22 21:58:10
58,89,0.93,1,2,3100036,2017-02-22 22:02:00
59,137,0.99,2,4,3622440,2017-02-22 22:02:34
60,98,0.88,3,3,3620319,2017-02-22 23:53:44
61,120,0.95,2,5,535,2017-02-22 23:54:24
62,127,0.99,1,4,3622332,2017-02-22 23:55:01
63,99,0.95,1,3,3550107,2017-02-22 23:56:54
64,121,1.00,3,4,60,2017-02-22 23:57:33
65,126,0.97,2,5,3622252,2017-02-22 23:58:31
66,93,0.92,2,3,74,2017-02-22 23:59:11
67,87,0.89,2,4,3100091,2017-02-22 23:59:55
68,73,0.84,3,4,97,2017-02-23 00:00:39
69,104,0.98,2,4,3622225,2017-02-23 00:01:16
70,86,0.93,2,5,3622370,2017-02-23 00:02:14
71,112,0.96,1,4,3100096,2017-02-23 00:03:09
72,93,0.91,2,5,410,2017-02-23 00:04:19
73,111,0.94,2,5,563,2017-02-23 00:05:07
74,99,0.95,2,4,3620042,2017-02-23 00:06:31
75,107,0.97,1,3,3620185,2017-02-23 00:07:32
76,100,0.92,2,4,3622468,2017-02-23 00:09:35
77,112,0.92,1,5,3620128,2017-02-23 00:10:40
